"","RIC","Freq","TRBC.Economic.Sector.Name"
"1","AAL.L",95,"Basic Materials"
"2","AV.L",44,"Financials"
"3","AZN.L",82,"Healthcare"
"4","BALF.L",37,"Industrials"
"5","BARC.L",46,"Financials"
"6","BATS.L",32,"Consumer Non-Cyclicals"
"7","BLND.L",32,"Real Estate"
"8","BP.L",37,"Energy"
"9","CEY.L",35,"Basic Materials"
"10","ESNT.L",34,"Basic Materials"
"11","FRAS.L",32,"Consumer Cyclicals"
"12","GLEN.L",40,"Basic Materials"
"13","GSK.L",56,"Healthcare"
"14","HICL.L",34,"Financials"
"15","HMSO.L",33,"Real Estate"
"16","HSBA.L",97,"Financials"
"17","HTCF.L",34,"Financials"
"18","IBT.L",39,"Financials"
"19","IEM.L",37,"Financials"
"20","INVP.L",33,"Financials"
"21","ITM.L",45,"Industrials"
"22","JAGIJ.L",55,"Financials"
"23","JCGI.L",38,"Financials"
"24","JCH.L",35,"Financials"
"25","JFJ.L",32,"Financials"
"26","JII.L",40,"Financials"
"27","JMF.L",35,"Financials"
"28","JMG.L",34,"Financials"
"29","JSGI.L",37,"Financials"
"30","JUSC.L",37,"Financials"
"31","LGEN.L",39,"Financials"
"32","LSEG.L",39,"Financials"
"33","MNP.L",37,"Financials"
"34","NBMI.L",40,"Financials"
"35","NG.L",42,"Utilities"
"36","NWG.L",58,"Financials"
"37","OXB.L",35,"Healthcare"
"38","PNN.L",34,"Utilities"
"39","PRTC.L",34,"Healthcare"
"40","PSN.L",40,"Consumer Cyclicals"
"41","PSON.L",34,"Consumer Cyclicals"
"42","RIO.L",58,"Basic Materials"
"43","SGE.L",34,"Technology"
"44","SSE.L",51,"Utilities"
"45","STAN.L",53,"Financials"
"46","TLW.L",33,"Energy"
"47","VOD.L",60,"Technology"
"48","VOF.L",35,"Financials"
"49","WKP.L",34,"Real Estate"
"50","WPP.L",60,"Consumer Cyclicals"
