"","RIC","date","ret20","MSL","GFI","MWL","Polarity","Subjectivity","Positive","Negative","Sector"
"1","3IN.L","2019/1/30",0.02585881,23.64865,19.47089,5.769975787,0,0.0375586852696775,4,4,"Financials"
"2","3IN.L","2021/6/11",0.02126898,32.8,22.7948,6.225382932,0.333333222222259,0.0197368419754155,2,1,"Financials"
"3","3IN.L","2021/7/1",0.02516779,27.57143,19.11147,5.590425532,0.999999000001,0.0156249997558594,1,0,"Financials"
"4","3IN.L","2022/3/31",0.033939237,26.45348837,20.28688985,5.723443223,0.116279067063278,0.0879345601473731,24,19,"Financials"
"5","3IN.L","2021/7/22",0.07284768,37.7,25.37178,6.431818182,0,0.0327868849771567,2,2,"Financials"
"6","3IN.L","2014/1/24",-0.002962963,27.45714,21.80492,5.782751092,0.529411733564016,0.0702479335940168,13,4,"Financials"
"7","3IN.L","2014/3/31",-0.01108093,26.85714,19.831,5.696920583,0.111111098765433,0.0304054053026844,5,4,"Financials"
"8","3IN.L","2016/10/5",-0.024685139,26,21.12115385,6.231065469,0.866666608888893,0.0632911389734551,14,1,"Financials"
"9","3IN.L","2015/1/5",0.008507853,43,25.10698,5.75,0.999999000001,0.0333333322222222,1,0,"Financials"
"10","3IN.L","2010/12/17",-0.059316833,134,59.57014925,7.91509434,0.999999000001,0.0294117638408305,1,0,"Financials"
"11","3IN.L","2019/3/14",0.02978569,31.16667,22.41319,6,0.999999750000062,0.0341880338958288,4,0,"Financials"
"12","3IN.L","2020/5/14",0.03030303,19,16.72281,6.299065421,0.999999000001,0.020408162848813,1,0,"Financials"
"13","3IN.L","2013/3/28",0.009096027,30.89744,22.05192,5.630755864,0.1249999921875,0.0617760615375442,9,7,"Financials"
"14","3IN.L","2015/1/28",0.01474359,31.48529412,22.88837267,5.700487805,0.111111098765433,0.059602648611903,5,4,"Financials"
"15","3IN.L","2010/7/6",0.006294964,54.5,31.70826,6.285714286,0.999999000001,0.0256410249835635,1,0,"Financials"
"16","3IN.L","2020/7/16",-0.011570248,21.33333333,16.65833333,5.869918699,0.999999000001,0.0212765952919873,1,0,"Financials"
"17","3IN.L","2018/2/28",0.059483603,32.27272727,23.38796415,6.222222222,0,0.0357142853954082,2,2,"Financials"
"18","3IN.L","2012/11/8",-0.000791766,40,25.5,6.067567568,0.999999000001,0.0357142844387755,1,0,"Financials"
"19","3IN.L","2020/9/30",0.03639515,28.5283,21.0145,5.631288766,0.166666659722222,0.0683760681812648,14,10,"Financials"
"20","3IN.L","2016/7/27",-0.002140182,28.3125,21.74443,6.327830189,0.499999875000031,0.0307692305325444,3,1,"Financials"
"21","3IN.L","2019/10/1",-0.03045685,3,1.2,5,0,0,0,0,"Financials"
"22","3IN.L","2017/1/6",0.0235546,43,24.64186,5.75,0.999999000001,0.0333333322222222,1,0,"Financials"
"23","3IN.L","2022/7/19",0.0496988,23.71429,18.76282,5.745341615,0.499999937500008,0.0695652167863894,6,2,"Financials"
"24","3IN.L","2018/1/2",-0.03605769,43,25.10698,5.75,0.999999000001,0.034482757431629,1,0,"Financials"
"25","3IN.L","2011/1/4",-0.025833333,43,25.10697674,5.75,0.999999000001,0.0333333322222222,1,0,"Financials"
"26","3IN.L","2015/4/16",0.024407114,41.57142857,27.35022091,6.413793103,0.333333222222259,0.0326086952977316,2,1,"Financials"
"27","3IN.L","2021/10/29",0.04462121,32,23.18462,6.402061856,-0.599999880000024,0.0381679386399394,1,4,"Financials"
"28","3IN.L","2018/8/28",0.0243299,23.17647,20.13353,6.12568306,-0.499999875000031,0.0327868849771567,1,3,"Financials"
"29","3IN.L","2015/7/8",0.01819964,67,31.97412935,6.631578947,-0.333333222222259,0.0588235282583622,1,2,"Financials"
"30","888.L","2016/8/18",0.052932828,52.66666667,27.80084388,5.822733424,0.199999980000002,0.0574712640375215,6,4,"Consumer Cyclicals"
"31","888.L","2021/12/15",-0.016646203,34.77142857,21.79682122,5.653645833,0.793103420927468,0.0957095706412225,26,3,"Consumer Cyclicals"
"32","888.L","2017/3/21",0.3064161,28.3,18.2458,5.842307692,0,0.0470588229757785,2,2,"Consumer Cyclicals"
"33","888.L","2017/12/14",0.03409923,34.78947368,21.84317223,5.931089744,0.799999960000002,0.099009900499951,18,2,"Consumer Cyclicals"
"34","888.L","2021/9/10",0.04601777,32.89474,21.09389,6.19343696,0.599999940000006,0.0558659214756094,8,2,"Consumer Cyclicals"
"35","888.L","2015/7/17",0.0296875,57.38104,32.18549,5.516504416,0.3333332962963,0.043902438810232,6,3,"Consumer Cyclicals"
"36","888.L","2015/5/18",-0.04717236,42.13793,26.41327,5.602728048,-0.263157880886427,0.0826086952930057,7,12,"Consumer Cyclicals"
"37","888.L","2020/9/23",0.492537934,29.32352941,20.43553012,5.762765957,0.833333298611112,0.0860215050680233,22,2,"Consumer Cyclicals"
"38","888.L","2012/7/26",-0.055214724,92.4375,42.11360717,7.033972125,0,0,0,0,"Consumer Cyclicals"
"39","888.L","2012/8/29",0.110261507,32.33333333,20.97457045,6.4,0.333333222222259,0.0508474567652973,2,1,"Consumer Cyclicals"
"40","888.L","2011/11/1",0.01515152,83.73333,39.38505,7.10681587,0.666666611111116,0.07100591673961,10,2,"Consumer Cyclicals"
"41","888.L","2010/8/31",0.162162162,42.15819209,25.26853012,8.207586764,0.176470577854672,0.0562913905420815,10,7,"Consumer Cyclicals"
"42","888.L","2010/4/26",-0.297678,36.4,24.12044,6.443478261,0.999999833333361,0.0461538457988166,6,0,"Consumer Cyclicals"
"43","888.L","2020/3/19",0.991361933,32.75,23.02366412,7.296460177,0.333333277777787,0.0769230759368836,4,2,"Consumer Cyclicals"
"44","888.L","2014/1/30",0.123571429,76.38095238,36.63716898,6.724427481,0.999999666666778,0.0361445778777762,3,0,"Consumer Cyclicals"
"45","888.L","2010/5/28",-0.543745941,32.58823529,21.55514971,6.030947776,0.0588235259515573,0.0977011488637865,9,8,"Consumer Cyclicals"
"46","888.L","2022/3/9",0.07564767,39.13559,25.15763,5.9934573,0.357142844387756,0.0714285712463557,19,9,"Consumer Cyclicals"
"47","AAF.L","2021/11/1",0.119564961,28.93103448,22.06109079,5.860122699,0.428571397959186,0.0603448273260999,10,4,"Technology"
"48","AAF.L","2021/10/12",0.2942419,28.89474,22.19542,6.30620155,0.777777691358034,0.0497237566313605,8,1,"Technology"
"49","AAF.L","2022/12/6",-0.08076557,29.37931,21.93952,6.57544757,0.733333284444448,0.0574712641476197,13,2,"Technology"
"50","AAF.L","2021/8/2",0.0464986,38.16667,24.87365,6.172985782,0.999999666666778,0.0245901637328675,3,0,"Technology"
"51","AAF.L","2021/8/20",0.008971449,36.07143,24.01273,6.149892934,0.999999666666778,0.0222222220576132,3,0,"Technology"
"52","AAF.L","2022/7/8",0.03254848,35.35714,23.03175,6.144736842,0.333333277777787,0.042553191187566,4,2,"Technology"
"53","AAF.L","2019/10/25",0.290940596,38.33580705,23.80356736,7.678219647,-0.0666666622222225,0.052264808180262,7,8,"Technology"
"54","AAF.L","2021/7/30",0.1207412,32.09756,22.47428,5.860223642,0.374999976562501,0.048780487656157,11,5,"Technology"
"55","AAF.L","2021/11/15",-0.05939124,33.53846154,23.41538462,6.272727273,0.666666555555574,0.0512820508437431,5,1,"Technology"
"56","AAF.L","2020/8/13",0.009058615,32.64285714,23.56042513,6.694835681,0.99999990000001,0.0735294112240484,10,0,"Technology"
"57","AAF.L","2022/6/6",-0.09176311,31.53846,22.66417,6.494680851,0.999999833333361,0.0472440941161882,6,0,"Technology"
"58","AAIF.L","2013/4/8",0.0117794,100,51.6,6.391752577,0,0.0571428555102041,1,1,"Financials"
"59","AAIF.L","2021/6/11",-0.00877193,30.28571,21.92561,5.848780488,-0.333333222222259,0.0352941172318339,1,2,"Financials"
"60","AAIF.L","2018/4/4",0.025698556,104,53.90769231,6.61,0,0.0476190464852608,1,1,"Financials"
"61","AAIF.L","2022/5/18",0.016198063,30.71428571,21.96013289,5.961538462,-0.333333222222259,0.0344827582243361,1,2,"Financials"
"62","AAIF.L","2017/4/13",-0.034902474,41.25,26.43939394,6.019480519,0.199999960000008,0.0806451599895942,3,2,"Financials"
"63","AAIF.L","2016/7/12",0.06990485,62.5,34.44,5.662447257,0,0.057971013652594,2,2,"Financials"
"64","AAIF.L","2012/9/12",0.02017115,46.66667,26.66667,6.03030303,-0.333333222222259,0.0624999986979167,1,2,"Financials"
"65","AAIF.L","2014/10/2",0.041948276,100,52.4,6.453608247,0,0.0571428555102041,1,1,"Financials"
"66","AAIF.L","2011/5/13",-0.000749683,37.8,23.28931217,6.900900901,0.166666652777779,0.0563380279045163,7,5,"Financials"
"67","AAIF.L","2012/4/19",-0.03873447,33.83333,21.61215,5.512953368,-0.599999880000024,0.092592590877915,1,4,"Financials"
"68","AAIF.L","2010/1/14",0.01181618,34.75,24.54748,6.963302752,0.333333222222259,0.0833333310185186,2,1,"Financials"
"69","AAIF.L","2020/4/28",-0.02333232,27,22.40494,6.620915033,0,0.0266666663111111,1,1,"Financials"
"70","AAL.L","2017/6/7",0.021531101,29.29032258,18.76458718,5.690561529,0.285714265306124,0.060869564952741,9,5,"Basic Materials"
"71","AAL.L","2013/4/12",0.04055164,47.5,25.73684,5.850574713,0.999999000001,0.024390243307555,1,0,"Basic Materials"
"72","AAL.L","2019/11/12",0.033839264,28.625,19.83427948,7.487309645,0.333333222222259,0.0410958898480015,2,1,"Basic Materials"
"73","AAL.L","2021/9/3",-0.147015775,34.44444444,22.29390681,6.612099644,0,0.0408163261141191,2,2,"Basic Materials"
"74","AAL.L","2011/2/14",-0.085634955,65,35.53846154,7.043859649,0.99999950000025,0.0512820499671269,2,0,"Basic Materials"
"75","AAL.L","2014/2/11",-0.04530313,31.5,23.07619,7.969230769,-0.399999960000004,0.0892857134885204,3,7,"Basic Materials"
"76","AAL.L","2014/4/25",-0.017879648,24.36144578,15.22430136,5.003535354,0.234042548211861,0.129120878766151,29,18,"Basic Materials"
"77","AAL.L","2019/10/1",0.091545532,3,1.2,5,0,0,0,0,"Basic Materials"
"78","AAL.L","2022/9/12",-0.05110002,30.42857,22.50007,6.587341772,-0.333333222222259,0.023999999808,1,2,"Basic Materials"
"79","AAL.L","2013/3/25",-0.1087844,35.6,22.77933,6.077844311,0.333333222222259,0.0652173898865785,2,1,"Basic Materials"
"80","AAL.L","2012/1/6",0.1529532,44,27.24646,5.967785235,0.499999968750002,0.0695652170888469,12,4,"Basic Materials"
"81","AAL.L","2021/11/4",0.03024814,34.44444,22.29391,6.5795053,0,0.0408163261141191,2,2,"Basic Materials"
"82","AAL.L","2017/2/14",-0.158212132,33.4,21.74323353,6.298642534,0.599999940000006,0.0666666662222222,8,2,"Basic Materials"
"83","AAL.L","2021/10/13",-0.02185988,34.44444,22.29391,6.588652482,0,0.0408163261141191,2,2,"Basic Materials"
"84","AAL.L","2015/5/11",-0.08663717,38.09091,23.82825,5.994910941,-0.333333222222259,0.0312499996744792,1,2,"Basic Materials"
"85","AAL.L","2012/7/23",-0.039793351,36.9,24.62449864,7.781758958,-0.3333332962963,0.0857142848979592,3,6,"Basic Materials"
"86","AAL.L","2020/1/29",-0.05529842,27.625,19.73778,7.015228426,0.333333222222259,0.0422535205316406,2,1,"Basic Materials"
"87","AAL.L","2010/2/11",0.1640893,48.71429,27.57956,6.048859935,0.454545413223144,0.0999999990909091,8,3,"Basic Materials"
"88","AAL.L","2013/10/11",0.02439024,31.16129,23.4376,5.913593256,0.151515146923783,0.123134327898753,19,14,"Basic Materials"
"89","AAL.L","2019/8/23",0.1113356,28.625,19.31026,7.419191919,0.333333222222259,0.0410958898480015,2,1,"Basic Materials"
"90","AAL.L","2016/5/12",0.099032773,33.6875,20.97036178,6.284210526,0.499999875000031,0.0261437906787987,3,1,"Basic Materials"
"91","AAL.L","2019/7/25",-0.1883319,29,20.59836,6.221206581,0.3333332962963,0.0523255810911303,6,3,"Basic Materials"
"92","AAL.L","2010/3/3",0.1250496,24.66667,19.23604,5.913461538,-0.499999958333337,0.0888888882304527,3,9,"Basic Materials"
"93","AAL.L","2011/1/4",-0.0818468,76.5,40.79608,7.259541985,0.99999950000025,0.046511626825311,2,0,"Basic Materials"
"94","AAL.L","2018/4/24",0.087969275,40.0625,24.63654446,6.029616725,0.599999940000006,0.0543478257915879,8,2,"Basic Materials"
"95","AAL.L","2020/1/22",-0.066136364,27.625,19.73778281,7.045918367,0.333333222222259,0.042857142244898,2,1,"Basic Materials"
"96","AAL.L","2022/12/21",0.175173085,42.51612903,26.23255176,6.381418093,-0.0769230739644972,0.0689655170584469,12,14,"Basic Materials"
"97","AAL.L","2020/1/21",-0.061147065,27.625,19.73778281,7.040816327,0.333333222222259,0.042857142244898,2,1,"Basic Materials"
"98","AAL.L","2014/10/27",0.05504587,47.66667,26.45128,5.587349398,0.473684185595569,0.0909090904741192,14,5,"Basic Materials"
"99","AAL.L","2012/10/15",0.02274596,37.66667,24.62419,6.283018868,0.999999000001,0.0303030293847567,1,0,"Basic Materials"
"100","AAL.L","2021/12/1",0.118831111,34.44444444,22.29390681,6.537102473,0,0.0408163261141191,2,2,"Basic Materials"
"101","AAL.L","2022/2/23",0.1312784,35.28,22.81948,6.350374065,0.833333263888895,0.048979591636818,11,1,"Basic Materials"
"102","AAL.L","2017/11/16",-0.0333913,33.33333,26.93333,6.966666667,0.333333222222259,0.0749999981250001,2,1,"Basic Materials"
"103","AAL.L","2011/2/16",-0.083169514,62.5,34.6,6.839285714,0.99999950000025,0.0512820499671269,2,0,"Basic Materials"
"104","AAL.L","2012/10/1",0.06411668,34.66667,23.09744,6.194300518,0,0.076923076331361,5,5,"Basic Materials"
"105","AAL.L","2012/9/20",-0.063176008,32.53846154,23.41727587,6.237373737,-0.399999960000004,0.076923076331361,3,7,"Basic Materials"
"106","AAL.L","2022/4/8",-0.07181577,37.6,23.12511,5.83286119,0.333333222222259,0.0315789470360111,2,1,"Basic Materials"
"107","AAL.L","2018/6/14",-0.07942158,29.25714,20.53098,5.991507431,0.636363578512402,0.0468085104391127,9,2,"Basic Materials"
"108","AAL.L","2019/9/30",0.06843724,3,1.2,5,0,0,0,0,"Basic Materials"
"109","AAL.L","2012/4/25",-0.134545803,41,24.5300813,6.025862069,0.999999000001,0.0303030293847567,1,0,"Basic Materials"
"110","AAL.L","2021/8/2",0.026691314,34.55555556,21.92511611,6.618374558,0,0.0408163261141191,2,2,"Basic Materials"
"111","AAL.L","2021/12/24",0.192800848,34.11111111,21.72262034,6.557553957,0,0.0421052627146814,2,2,"Basic Materials"
"112","AAL.L","2015/7/17",-0.117990998,43.44444444,25.05041205,6.237681159,-0.333333222222259,0.0265486723314277,1,2,"Basic Materials"
"113","AAL.L","2020/3/2",-0.222597704,27.75,19.38828829,7.398963731,0.333333222222259,0.041666666087963,2,1,"Basic Materials"
"114","AAL.L","2018/11/27",0.1128743,42.07143,26.20039,6.336397059,0.299999985000001,0.0628930815632293,13,7,"Basic Materials"
"115","AAL.L","2011/4/5",-0.035571541,40,24.33333333,6.07079646,0.999999000001,0.0303030293847567,1,0,"Basic Materials"
"116","AAL.L","2012/3/16",-0.086119165,120,56.33333333,6.610619469,0.999999000001,0.0232558134126555,1,0,"Basic Materials"
"117","AAL.L","2016/5/24",0.089045252,38.25,21.92309368,6.224489796,0.499999875000031,0.033057850966464,3,1,"Basic Materials"
"118","AAL.L","2010/11/22",0.071793127,39.75,25.58553459,6.357388316,-0.199999960000008,0.0520833327907986,2,3,"Basic Materials"
"119","AAL.L","2019/11/13",0.02518519,28.625,19.83428,7.505102041,0.333333222222259,0.0410958898480015,2,1,"Basic Materials"
"120","AAL.L","2019/6/28",-0.01040724,27.8,20.90417,6.132075472,0.999999666666778,0.0303030299969391,3,0,"Basic Materials"
"121","AAL.L","2022/1/12",0.077338685,34.11111111,21.72262034,6.588447653,0,0.0421052627146814,2,2,"Basic Materials"
"122","AAL.L","2010/3/22",0.137487152,36.5,23.64109589,6.047794118,-0.333333222222259,0.0422535205316406,1,2,"Basic Materials"
"123","AAL.L","2011/1/6",-0.022398088,48.33333333,29.26436782,6.036231884,0.99999950000025,0.04999999875,2,0,"Basic Materials"
"124","AAL.L","2011/7/20",-0.1669206,40.66667,24.46339,6,0.999999000001,0.0285714277551021,1,0,"Basic Materials"
"125","AAL.L","2021/9/23",0.1077283,34.44444,22.29391,6.62633452,0,0.0408163261141191,2,2,"Basic Materials"
"126","AAL.L","2020/6/10",-0.012651442,29,20.12664577,6.143581081,0.263157880886427,0.0887850463140886,12,7,"Basic Materials"
"127","AAL.L","2011/3/10",0.0313573,39.66667,23.93389,6.125,0.999999000001,0.0312499990234375,1,0,"Basic Materials"
"128","AAL.L","2021/2/22",-0.005408478,3,1.2,5,0,0,0,0,"Basic Materials"
"129","AAL.L","2019/8/12",0.024771514,28.875,19.34220779,7.395,0.333333222222259,0.041666666087963,2,1,"Basic Materials"
"130","AAL.L","2021/12/23",0.1995967,34.11111,21.59233,6.534050179,0,0.0421052627146814,2,2,"Basic Materials"
"131","AAL.L","2016/1/26",1.134819,36.78571,21.54924,5.91416309,0.666666555555574,0.0422535208292006,5,1,"Basic Materials"
"132","AAL.L","2019/12/2",0.08826759,28.625,19.83428,7.520408163,0.333333222222259,0.041666666087963,2,1,"Basic Materials"
"133","AAL.L","2017/2/15",-0.151689432,38.84615385,24.64737243,6.414027149,-0.333333222222259,0.0218978100591401,1,2,"Basic Materials"
"134","AAL.L","2020/12/10",0.0723162,32.82609,24.20328,6.474964235,0.538461497041423,0.0539419084898676,10,3,"Basic Materials"
"135","AAL.L","2016/7/20",0.093903638,48.7734375,24.28272115,12.17436458,0,0,0,0,"Basic Materials"
"136","AAL.L","2010/9/28",0.1781904,73,37.14521,5.414545455,0,0.0312499995117188,1,1,"Basic Materials"
"137","AAL.L","2010/10/13",0.081308241,41.33333333,26.21075269,6.179487179,0.99999950000025,0.04999999875,2,0,"Basic Materials"
"138","AAL.L","2011/5/24",0.011098055,40,24.33333333,6.026548673,0.999999000001,0.0303030293847567,1,0,"Basic Materials"
"139","AAL.L","2020/2/28",-0.2228863,27.75,19.74865,7.402061856,0.333333222222259,0.041666666087963,2,1,"Basic Materials"
"140","AAL.L","2021/1/28",0.206838,25.22222,21.19021,6.327102804,0.999999666666778,0.0384615379684418,3,0,"Basic Materials"
"141","AAL.L","2011/8/9",0.02323632,41.33333,24.27527,5.974358974,0.999999000001,0.0294117638408305,1,0,"Basic Materials"
"142","AAL.L","2019/2/4",0.007455168,31.88,21.13343036,5.959945689,0,0.0449438199722257,4,4,"Basic Materials"
"143","AAL.L","2014/12/8",-0.0669978,30.31915,20.66099,6.432291667,0,0.0533333329777778,4,4,"Basic Materials"
"144","AAL.L","2021/6/8",-0.05296543,34.36842105,24.0383332,5.867623604,-0.333333222222259,0.0215827336576782,1,2,"Basic Materials"
"145","AAL.L","2020/1/17",-0.019995403,27.625,19.73778281,7.056122449,0.333333222222259,0.042857142244898,2,1,"Basic Materials"
"146","AAL.L","2021/11/16",0.006491228,34.44444444,22.29390681,6.592198582,0,0.0408163261141191,2,2,"Basic Materials"
"147","AAL.L","2013/3/12",-0.1299619,38,23.97193,6.224299065,0.999999000001,0.0312499990234375,1,0,"Basic Materials"
"148","AAL.L","2021/6/1",-0.07073393,44.11475,26.10372,5.889332801,-0.714285612244912,0.0370370368410739,1,6,"Basic Materials"
"149","AAL.L","2019/5/16",0.106769412,37.17647059,24.11109456,6.263345196,0.857142795918372,0.0703517584404434,13,1,"Basic Materials"
"150","AAL.L","2021/5/19",-0.09101371,43.93548,26.76656,6.219492868,-0.214285706632653,0.0714285712463557,11,17,"Basic Materials"
"151","AAL.L","2019/7/26",-0.208305623,28.875,19.34220779,7.407035176,0.333333222222259,0.0410958898480015,2,1,"Basic Materials"
"152","AAL.L","2015/3/23",-0.116672357,38.5,24.94545455,6.010416667,0.866666608888893,0.0785340310024396,14,1,"Basic Materials"
"153","AAL.L","2021/8/4",-0.01039958,34.44444,21.90681,6.651245552,0,0.0408163261141191,2,2,"Basic Materials"
"154","AAL.L","2010/11/4",0.002767687,42,26.32380952,6.084033613,0.99999950000025,0.0526315775623269,2,0,"Basic Materials"
"155","AAL.L","2012/8/31",0.053607071,37.66666667,23.56224189,6.226415094,0.999999000001,0.0303030293847567,1,0,"Basic Materials"
"156","AAL.L","2018/1/30",0.049886105,38.14285714,22.74777956,6.334792123,0.142857122448982,0.0479452051510602,4,3,"Basic Materials"
"157","AAL.L","2012/9/12",-0.07237852,35.5,24.01891,6.094623656,-0.411764681660901,0.115646257716692,5,12,"Basic Materials"
"158","AAL.L","2018/1/3",0.07611285,27,22.05926,6.488,0.333333222222259,0.0681818166322314,2,1,"Basic Materials"
"159","AAL.L","2014/12/5",-0.066208616,40.76923077,25.51523948,6.197530864,0.749999906250012,0.0496894406851588,7,1,"Basic Materials"
"160","AAL.L","2021/9/29",0.1202305,34.44444,22.29391,6.619217082,0,0.0408163261141191,2,2,"Basic Materials"
"161","AAL.L","2022/1/18",0.07296456,34.11111,21.72262,6.577617329,0,0.0421052627146814,2,2,"Basic Materials"
